szn,winner
,
2024-25,https://www.nhl.com/player/sam-bennett-8477935
,
2023-24,https://www.nhl.com/player/connor-mcdavid-8478402
,
2022-23,https://www.nhl.com/player/jonathan-marchessault-8476539
,
2021-22,https://www.nhl.com/player/cale-makar-8480069
,
2020-21,https://www.nhl.com/player/andrei-vasilevskiy-8476883
,
2019-20,https://www.nhl.com/player/victor-hedman-8475167
,
2018-19,https://www.nhl.com/player/ryan-o-reilly-8475158
,
2017-18,https://www.nhl.com/player/alex-ovechkin-8471214
,
2016-17,https://www.nhl.com/player/sidney-crosby-8471675
,
2015-16,https://www.nhl.com/player/sidney-crosby-8471675
,
2014-15,https://www.nhl.com/player/duncan-keith-8470281
,
2013-14,https://www.nhl.com/player/justin-williams-8468508
,
2012-13,https://www.nhl.com/player/patrick-kane-8474141
,
2011-12,https://www.nhl.com/player/jonathan-quick-8471734
,
2010-11,https://www.nhl.com/player/tim-thomas-8460703
,
2009-10,https://www.nhl.com/player/jonathan-toews-8473604
,
2008-09,https://www.nhl.com/player/evgeni-malkin-8471215
,
2007-08,https://www.nhl.com/player/henrik-zetterberg-8468083
,
2006-07,https://www.nhl.com/player/scott-niedermayer-8458517
,
2005-06,https://www.nhl.com/player/cam-ward-8470320
,
2003-04,https://www.nhl.com/player/brad-richards-8467389
,
2002-03,https://www.nhl.com/player/jean-sebastien-giguere-8462044
,
2001-02,https://www.nhl.com/player/nicklas-lidstrom-8457063
,
2000-01,https://www.nhl.com/player/patrick-roy-8451033
,
1999-00,https://www.nhl.com/player/scott-stevens-8451715
,
1998-99,https://www.nhl.com/player/joe-nieuwendyk-8449893
,
1997-98,https://www.nhl.com/player/steve-yzerman-8452578
,
1996-97,https://www.nhl.com/player/mike-vernon-8452217
,
1995-96,https://www.nhl.com/player/joe-sakic-8451101
,
1994-95,https://www.nhl.com/player/claude-lemieux-8448772
,
1993-94,https://www.nhl.com/player/brian-leetch-8448769
,
1992-93,https://www.nhl.com/player/patrick-roy-8451033
,
1991-92,https://www.nhl.com/player/mario-lemieux-8448782
,
1990-91,https://www.nhl.com/player/mario-lemieux-8448782
,
1989-90,https://www.nhl.com/player/bill-ranford-8450651
,
1988-89,https://www.nhl.com/player/al-macinnis-8448960
,
1987-88,https://www.nhl.com/player/wayne-gretzky-8447400
,
1986-87,https://www.nhl.com/player/ron-hextall-8447775
,
1985-86,https://www.nhl.com/player/patrick-roy-8451033
,
1984-85,https://www.nhl.com/player/wayne-gretzky-8447400
,
1983-84,https://www.nhl.com/player/mark-messier-8449573
,
1982-83,https://www.nhl.com/player/billy-smith-8451525
,
1981-82,https://www.nhl.com/player/mike-bossy-8445611
,
1980-81,https://www.nhl.com/player/butch-goring-8447296
,
1979-80,https://www.nhl.com/player/bryan-trottier-8451965
,
1978-79,https://www.nhl.com/player/bob-gainey-8446998
,
1977-78,https://www.nhl.com/player/larry-robinson-8450936
,
1976-77,https://www.nhl.com/player/guy-lafleur-8448624
,
1975-76,https://www.nhl.com/player/reggie-leach-8448729
,
1974-75,https://www.nhl.com/player/bernie-parent-8450178
,
1973-74,https://www.nhl.com/player/bernie-parent-8450178
,
1972-73,https://www.nhl.com/player/yvan-cournoyer-8446200
,
1971-72,https://www.nhl.com/player/bobby-orr-8450070
,
1970-71,https://www.nhl.com/player/ken-dryden-8446490
,
1969-70,https://www.nhl.com/player/bobby-orr-8450070
,
1968-69,https://www.nhl.com/player/serge-savard-8451150
,
1967-68,https://www.nhl.com/player/glenn-hall-8449988
,
1966-67,https://www.nhl.com/player/dave-keon-8448468
,
1965-66,https://www.nhl.com/player/roger-crozier-8449859
,
1964-65,https://www.nhl.com/player/jean-beliveau-8445408
